OBJECTID_1,RASTERVALU,SPMT,SPMT(1),SPMT(2)
9,0,Siliceous light (1),1,1
50,0,Siliceous light (1),1,1
77,0,Siliceous light (1),1,1
111,0,Siliceous light (1),1,1
117,0,Siliceous light (1),1,1
123,0,Siliceous light (1),1,1
219,0,Siliceous light (1),1,1
223,0,Siliceous light (1),1,1
260,0,Siliceous light (1),1,1
382,0,Siliceous light (1),1,1
452,0,Siliceous light (1),1,1
506,0,Siliceous light (1),1,1
551,0,Siliceous light (1),1,1
591,0,Siliceous light (1),1,1
641,0,Siliceous light (1),1,1
675,0,Siliceous light (1),1,1
677,0,Siliceous light (1),1,1
713,0,Siliceous light (1),1,1
883,0,Siliceous light (1),1,1
1028,0,Siliceous light (1),1,1
1055,0,Siliceous light (1),1,1
1096,0,Siliceous light (1),1,1
1104,0,Siliceous light (1),1,1
1112,0,Siliceous light (1),1,1
1113,0,Siliceous light (1),1,1
1176,0,Siliceous light (1),1,1
1177,0,Siliceous light (1),1,1
1334,0,Siliceous light (1),1,1
1354,0,Siliceous light (1),1,1
1403,0,Siliceous light (1),1,1
1409,0,Siliceous light (1),1,1
1477,0,Siliceous light (1),1,1
1496,0,Siliceous light (1),1,1
1597,0,Siliceous light (1),1,1
1694,0,Siliceous light (1),1,1
1770,0,Siliceous light (1),1,1
1835,0,Siliceous light (1),1,1
1873,0,Siliceous light (1),1,1
2013,0,Siliceous light (1),1,1
2070,0,Siliceous light (1),1,1
2081,0,Siliceous light (1),1,1
2151,0,Siliceous light (1),1,1
2254,0,Siliceous light (1),1,1
2268,0,Siliceous light (1),1,1
2475,0,Siliceous light (1),1,1
2480,0,Siliceous light (1),1,1
2569,0,Siliceous light (1),1,1
2594,0,Siliceous light (1),1,1
2603,0,Siliceous light (1),1,1
2620,0,Siliceous light (1),1,1
2655,0,Siliceous light (1),1,1
2725,0,Siliceous light (1),1,1
10,1,Siliceous loamy (2),2,2
13,1,Siliceous loamy (2),2,2
15,1,Siliceous loamy (2),2,2
26,1,Siliceous loamy (2),2,2
39,1,Siliceous loamy (2),2,2
40,1,Siliceous loamy (2),2,2
47,1,Siliceous loamy (2),2,2
55,1,Siliceous loamy (2),2,2
56,1,Siliceous loamy (2),2,2
57,1,Siliceous loamy (2),2,2
58,1,Siliceous loamy (2),2,2
63,1,Siliceous loamy (2),2,2
72,1,Siliceous loamy (2),2,2
78,1,Siliceous loamy (2),2,2
80,1,Siliceous loamy (2),2,2
83,1,Siliceous loamy (2),2,2
85,1,Siliceous loamy (2),2,2
87,1,Siliceous loamy (2),2,2
96,1,Siliceous loamy (2),2,2
97,1,Siliceous loamy (2),2,2
103,1,Siliceous loamy (2),2,2
104,1,Siliceous loamy (2),2,2
113,1,Siliceous loamy (2),2,2
120,1,Siliceous loamy (2),2,2
127,1,Siliceous loamy (2),2,2
130,1,Siliceous loamy (2),2,2
133,1,Siliceous loamy (2),2,2
137,1,Siliceous loamy (2),2,2
140,1,Siliceous loamy (2),2,2
148,1,Siliceous loamy (2),2,2
149,1,Siliceous loamy (2),2,2
150,1,Siliceous loamy (2),2,2
153,1,Siliceous loamy (2),2,2
167,1,Siliceous loamy (2),2,2
171,1,Siliceous loamy (2),2,2
176,1,Siliceous loamy (2),2,2
180,1,Siliceous loamy (2),2,2
181,1,Siliceous loamy (2),2,2
182,1,Siliceous loamy (2),2,2
187,1,Siliceous loamy (2),2,2
193,1,Siliceous loamy (2),2,2
194,1,Siliceous loamy (2),2,2
199,1,Siliceous loamy (2),2,2
200,1,Siliceous loamy (2),2,2
204,1,Siliceous loamy (2),2,2
213,1,Siliceous loamy (2),2,2
216,1,Siliceous loamy (2),2,2
232,1,Siliceous loamy (2),2,2
240,1,Siliceous loamy (2),2,2
245,1,Siliceous loamy (2),2,2
247,1,Siliceous loamy (2),2,2
253,1,Siliceous loamy (2),2,2
255,1,Siliceous loamy (2),2,2
258,1,Siliceous loamy (2),2,2
259,1,Siliceous loamy (2),2,2
261,1,Siliceous loamy (2),2,2
262,1,Siliceous loamy (2),2,2
263,1,Siliceous loamy (2),2,2
266,1,Siliceous loamy (2),2,2
274,1,Siliceous loamy (2),2,2
275,1,Siliceous loamy (2),2,2
278,1,Siliceous loamy (2),2,2
279,1,Siliceous loamy (2),2,2
285,1,Siliceous loamy (2),2,2
289,1,Siliceous loamy (2),2,2
291,1,Siliceous loamy (2),2,2
300,1,Siliceous loamy (2),2,2
302,1,Siliceous loamy (2),2,2
303,1,Siliceous loamy (2),2,2
305,1,Siliceous loamy (2),2,2
316,1,Siliceous loamy (2),2,2
326,1,Siliceous loamy (2),2,2
331,1,Siliceous loamy (2),2,2
339,1,Siliceous loamy (2),2,2
344,1,Siliceous loamy (2),2,2
346,1,Siliceous loamy (2),2,2
360,1,Siliceous loamy (2),2,2
361,1,Siliceous loamy (2),2,2
366,1,Siliceous loamy (2),2,2
368,1,Siliceous loamy (2),2,2
369,1,Siliceous loamy (2),2,2
371,1,Siliceous loamy (2),2,2
374,1,Siliceous loamy (2),2,2
378,1,Siliceous loamy (2),2,2
383,1,Siliceous loamy (2),2,2
390,1,Siliceous loamy (2),2,2
393,1,Siliceous loamy (2),2,2
394,1,Siliceous loamy (2),2,2
401,1,Siliceous loamy (2),2,2
409,1,Siliceous loamy (2),2,2
410,1,Siliceous loamy (2),2,2
413,1,Siliceous loamy (2),2,2
421,1,Siliceous loamy (2),2,2
424,1,Siliceous loamy (2),2,2
429,1,Siliceous loamy (2),2,2
436,1,Siliceous loamy (2),2,2
455,1,Siliceous loamy (2),2,2
457,1,Siliceous loamy (2),2,2
462,1,Siliceous loamy (2),2,2
463,1,Siliceous loamy (2),2,2
466,1,Siliceous loamy (2),2,2
467,1,Siliceous loamy (2),2,2
473,1,Siliceous loamy (2),2,2
476,1,Siliceous loamy (2),2,2
488,1,Siliceous loamy (2),2,2
500,1,Siliceous loamy (2),2,2
501,1,Siliceous loamy (2),2,2
503,1,Siliceous loamy (2),2,2
504,1,Siliceous loamy (2),2,2
510,1,Siliceous loamy (2),2,2
514,1,Siliceous loamy (2),2,2
515,1,Siliceous loamy (2),2,2
517,1,Siliceous loamy (2),2,2
531,1,Siliceous loamy (2),2,2
533,1,Siliceous loamy (2),2,2
534,1,Siliceous loamy (2),2,2
535,1,Siliceous loamy (2),2,2
538,1,Siliceous loamy (2),2,2
541,1,Siliceous loamy (2),2,2
552,1,Siliceous loamy (2),2,2
553,1,Siliceous loamy (2),2,2
554,1,Siliceous loamy (2),2,2
558,1,Siliceous loamy (2),2,2
561,1,Siliceous loamy (2),2,2
564,1,Siliceous loamy (2),2,2
570,1,Siliceous loamy (2),2,2
579,1,Siliceous loamy (2),2,2
582,1,Siliceous loamy (2),2,2
584,1,Siliceous loamy (2),2,2
585,1,Siliceous loamy (2),2,2
586,1,Siliceous loamy (2),2,2
595,1,Siliceous loamy (2),2,2
604,1,Siliceous loamy (2),2,2
605,1,Siliceous loamy (2),2,2
606,1,Siliceous loamy (2),2,2
608,1,Siliceous loamy (2),2,2
615,1,Siliceous loamy (2),2,2
616,1,Siliceous loamy (2),2,2
621,1,Siliceous loamy (2),2,2
626,1,Siliceous loamy (2),2,2
629,1,Siliceous loamy (2),2,2
633,1,Siliceous loamy (2),2,2
636,1,Siliceous loamy (2),2,2
638,1,Siliceous loamy (2),2,2
644,1,Siliceous loamy (2),2,2
657,1,Siliceous loamy (2),2,2
666,1,Siliceous loamy (2),2,2
670,1,Siliceous loamy (2),2,2
674,1,Siliceous loamy (2),2,2
678,1,Siliceous loamy (2),2,2
680,1,Siliceous loamy (2),2,2
685,1,Siliceous loamy (2),2,2
690,1,Siliceous loamy (2),2,2
697,1,Siliceous loamy (2),2,2
719,1,Siliceous loamy (2),2,2
723,1,Siliceous loamy (2),2,2
727,1,Siliceous loamy (2),2,2
736,1,Siliceous loamy (2),2,2
742,1,Siliceous loamy (2),2,2
743,1,Siliceous loamy (2),2,2
746,1,Siliceous loamy (2),2,2
755,1,Siliceous loamy (2),2,2
758,1,Siliceous loamy (2),2,2
760,1,Siliceous loamy (2),2,2
768,1,Siliceous loamy (2),2,2
774,1,Siliceous loamy (2),2,2
778,1,Siliceous loamy (2),2,2
784,1,Siliceous loamy (2),2,2
785,1,Siliceous loamy (2),2,2
792,1,Siliceous loamy (2),2,2
797,1,Siliceous loamy (2),2,2
807,1,Siliceous loamy (2),2,2
813,1,Siliceous loamy (2),2,2
817,1,Siliceous loamy (2),2,2
821,1,Siliceous loamy (2),2,2
832,1,Siliceous loamy (2),2,2
834,1,Siliceous loamy (2),2,2
840,1,Siliceous loamy (2),2,2
841,1,Siliceous loamy (2),2,2
842,1,Siliceous loamy (2),2,2
843,1,Siliceous loamy (2),2,2
867,1,Siliceous loamy (2),2,2
868,1,Siliceous loamy (2),2,2
869,1,Siliceous loamy (2),2,2
870,1,Siliceous loamy (2),2,2
871,1,Siliceous loamy (2),2,2
874,1,Siliceous loamy (2),2,2
877,1,Siliceous loamy (2),2,2
878,1,Siliceous loamy (2),2,2
879,1,Siliceous loamy (2),2,2
882,1,Siliceous loamy (2),2,2
889,1,Siliceous loamy (2),2,2
899,1,Siliceous loamy (2),2,2
900,1,Siliceous loamy (2),2,2
902,1,Siliceous loamy (2),2,2
905,1,Siliceous loamy (2),2,2
912,1,Siliceous loamy (2),2,2
920,1,Siliceous loamy (2),2,2
927,1,Siliceous loamy (2),2,2
931,1,Siliceous loamy (2),2,2
937,1,Siliceous loamy (2),2,2
944,1,Siliceous loamy (2),2,2
945,1,Siliceous loamy (2),2,2
947,1,Siliceous loamy (2),2,2
948,1,Siliceous loamy (2),2,2
952,1,Siliceous loamy (2),2,2
953,1,Siliceous loamy (2),2,2
959,1,Siliceous loamy (2),2,2
970,1,Siliceous loamy (2),2,2
971,1,Siliceous loamy (2),2,2
982,1,Siliceous loamy (2),2,2
986,1,Siliceous loamy (2),2,2
989,1,Siliceous loamy (2),2,2
992,1,Siliceous loamy (2),2,2
998,1,Siliceous loamy (2),2,2
1003,1,Siliceous loamy (2),2,2
1007,1,Siliceous loamy (2),2,2
1014,1,Siliceous loamy (2),2,2
1017,1,Siliceous loamy (2),2,2
1021,1,Siliceous loamy (2),2,2
1030,1,Siliceous loamy (2),2,2
1032,1,Siliceous loamy (2),2,2
1036,1,Siliceous loamy (2),2,2
1043,1,Siliceous loamy (2),2,2
1045,1,Siliceous loamy (2),2,2
1049,1,Siliceous loamy (2),2,2
1058,1,Siliceous loamy (2),2,2
1066,1,Siliceous loamy (2),2,2
1068,1,Siliceous loamy (2),2,2
1071,1,Siliceous loamy (2),2,2
1073,1,Siliceous loamy (2),2,2
1078,1,Siliceous loamy (2),2,2
1088,1,Siliceous loamy (2),2,2
1090,1,Siliceous loamy (2),2,2
1091,1,Siliceous loamy (2),2,2
1097,1,Siliceous loamy (2),2,2
1099,1,Siliceous loamy (2),2,2
1100,1,Siliceous loamy (2),2,2
1103,1,Siliceous loamy (2),2,2
1108,1,Siliceous loamy (2),2,2
1110,1,Siliceous loamy (2),2,2
1116,1,Siliceous loamy (2),2,2
1118,1,Siliceous loamy (2),2,2
1120,1,Siliceous loamy (2),2,2
1121,1,Siliceous loamy (2),2,2
1122,1,Siliceous loamy (2),2,2
1123,1,Siliceous loamy (2),2,2
1127,1,Siliceous loamy (2),2,2
1130,1,Siliceous loamy (2),2,2
1132,1,Siliceous loamy (2),2,2
1135,1,Siliceous loamy (2),2,2
1138,1,Siliceous loamy (2),2,2
1153,1,Siliceous loamy (2),2,2
1158,1,Siliceous loamy (2),2,2
1159,1,Siliceous loamy (2),2,2
1162,1,Siliceous loamy (2),2,2
1172,1,Siliceous loamy (2),2,2
1175,1,Siliceous loamy (2),2,2
1183,1,Siliceous loamy (2),2,2
1184,1,Siliceous loamy (2),2,2
1186,1,Siliceous loamy (2),2,2
1188,1,Siliceous loamy (2),2,2
1190,1,Siliceous loamy (2),2,2
1197,1,Siliceous loamy (2),2,2
1204,1,Siliceous loamy (2),2,2
1208,1,Siliceous loamy (2),2,2
1210,1,Siliceous loamy (2),2,2
1219,1,Siliceous loamy (2),2,2
1226,1,Siliceous loamy (2),2,2
1228,1,Siliceous loamy (2),2,2
1231,1,Siliceous loamy (2),2,2
1236,1,Siliceous loamy (2),2,2
1240,1,Siliceous loamy (2),2,2
1241,1,Siliceous loamy (2),2,2
1246,1,Siliceous loamy (2),2,2
1247,1,Siliceous loamy (2),2,2
1248,1,Siliceous loamy (2),2,2
1253,1,Siliceous loamy (2),2,2
1254,1,Siliceous loamy (2),2,2
1263,1,Siliceous loamy (2),2,2
1275,1,Siliceous loamy (2),2,2
1276,1,Siliceous loamy (2),2,2
1284,1,Siliceous loamy (2),2,2
1285,1,Siliceous loamy (2),2,2
1288,1,Siliceous loamy (2),2,2
1291,1,Siliceous loamy (2),2,2
1292,1,Siliceous loamy (2),2,2
1293,1,Siliceous loamy (2),2,2
1295,1,Siliceous loamy (2),2,2
1298,1,Siliceous loamy (2),2,2
1306,1,Siliceous loamy (2),2,2
1307,1,Siliceous loamy (2),2,2
1319,1,Siliceous loamy (2),2,2
1323,1,Siliceous loamy (2),2,2
1324,1,Siliceous loamy (2),2,2
1325,1,Siliceous loamy (2),2,2
1327,1,Siliceous loamy (2),2,2
1329,1,Siliceous loamy (2),2,2
1333,1,Siliceous loamy (2),2,2
1336,1,Siliceous loamy (2),2,2
1338,1,Siliceous loamy (2),2,2
1340,1,Siliceous loamy (2),2,2
1343,1,Siliceous loamy (2),2,2
1347,1,Siliceous loamy (2),2,2
1348,1,Siliceous loamy (2),2,2
1358,1,Siliceous loamy (2),2,2
1362,1,Siliceous loamy (2),2,2
1367,1,Siliceous loamy (2),2,2
1371,1,Siliceous loamy (2),2,2
1373,1,Siliceous loamy (2),2,2
1374,1,Siliceous loamy (2),2,2
1376,1,Siliceous loamy (2),2,2
1383,1,Siliceous loamy (2),2,2
1405,1,Siliceous loamy (2),2,2
1417,1,Siliceous loamy (2),2,2
1419,1,Siliceous loamy (2),2,2
1421,1,Siliceous loamy (2),2,2
1423,1,Siliceous loamy (2),2,2
1425,1,Siliceous loamy (2),2,2
1437,1,Siliceous loamy (2),2,2
1447,1,Siliceous loamy (2),2,2
1450,1,Siliceous loamy (2),2,2
1455,1,Siliceous loamy (2),2,2
1456,1,Siliceous loamy (2),2,2
1457,1,Siliceous loamy (2),2,2
1463,1,Siliceous loamy (2),2,2
1465,1,Siliceous loamy (2),2,2
1468,1,Siliceous loamy (2),2,2
1469,1,Siliceous loamy (2),2,2
1474,1,Siliceous loamy (2),2,2
1478,1,Siliceous loamy (2),2,2
1479,1,Siliceous loamy (2),2,2
1480,1,Siliceous loamy (2),2,2
1485,1,Siliceous loamy (2),2,2
1486,1,Siliceous loamy (2),2,2
1493,1,Siliceous loamy (2),2,2
1495,1,Siliceous loamy (2),2,2
1502,1,Siliceous loamy (2),2,2
1503,1,Siliceous loamy (2),2,2
1512,1,Siliceous loamy (2),2,2
1520,1,Siliceous loamy (2),2,2
1523,1,Siliceous loamy (2),2,2
1524,1,Siliceous loamy (2),2,2
1526,1,Siliceous loamy (2),2,2
1528,1,Siliceous loamy (2),2,2
1537,1,Siliceous loamy (2),2,2
1539,1,Siliceous loamy (2),2,2
1542,1,Siliceous loamy (2),2,2
1545,1,Siliceous loamy (2),2,2
1550,1,Siliceous loamy (2),2,2
1551,1,Siliceous loamy (2),2,2
1552,1,Siliceous loamy (2),2,2
1566,1,Siliceous loamy (2),2,2
1568,1,Siliceous loamy (2),2,2
1571,1,Siliceous loamy (2),2,2
1576,1,Siliceous loamy (2),2,2
1577,1,Siliceous loamy (2),2,2
1579,1,Siliceous loamy (2),2,2
1581,1,Siliceous loamy (2),2,2
1586,1,Siliceous loamy (2),2,2
1588,1,Siliceous loamy (2),2,2
1600,1,Siliceous loamy (2),2,2
1613,1,Siliceous loamy (2),2,2
1614,1,Siliceous loamy (2),2,2
1625,1,Siliceous loamy (2),2,2
1626,1,Siliceous loamy (2),2,2
1627,1,Siliceous loamy (2),2,2
1633,1,Siliceous loamy (2),2,2
1634,1,Siliceous loamy (2),2,2
1635,1,Siliceous loamy (2),2,2
1638,1,Siliceous loamy (2),2,2
1642,1,Siliceous loamy (2),2,2
1649,1,Siliceous loamy (2),2,2
1655,1,Siliceous loamy (2),2,2
1657,1,Siliceous loamy (2),2,2
1661,1,Siliceous loamy (2),2,2
1675,1,Siliceous loamy (2),2,2
1686,1,Siliceous loamy (2),2,2
1687,1,Siliceous loamy (2),2,2
1688,1,Siliceous loamy (2),2,2
1701,1,Siliceous loamy (2),2,2
1704,1,Siliceous loamy (2),2,2
1705,1,Siliceous loamy (2),2,2
1708,1,Siliceous loamy (2),2,2
1713,1,Siliceous loamy (2),2,2
1718,1,Siliceous loamy (2),2,2
1720,1,Siliceous loamy (2),2,2
1722,1,Siliceous loamy (2),2,2
1733,1,Siliceous loamy (2),2,2
1734,1,Siliceous loamy (2),2,2
1735,1,Siliceous loamy (2),2,2
1736,1,Siliceous loamy (2),2,2
1738,1,Siliceous loamy (2),2,2
1739,1,Siliceous loamy (2),2,2
1744,1,Siliceous loamy (2),2,2
1748,1,Siliceous loamy (2),2,2
1749,1,Siliceous loamy (2),2,2
1752,1,Siliceous loamy (2),2,2
1757,1,Siliceous loamy (2),2,2
1758,1,Siliceous loamy (2),2,2
1760,1,Siliceous loamy (2),2,2
1773,1,Siliceous loamy (2),2,2
1782,1,Siliceous loamy (2),2,2
1786,1,Siliceous loamy (2),2,2
1787,1,Siliceous loamy (2),2,2
1789,1,Siliceous loamy (2),2,2
1791,1,Siliceous loamy (2),2,2
1798,1,Siliceous loamy (2),2,2
1802,1,Siliceous loamy (2),2,2
1807,1,Siliceous loamy (2),2,2
1808,1,Siliceous loamy (2),2,2
1815,1,Siliceous loamy (2),2,2
1824,1,Siliceous loamy (2),2,2
1828,1,Siliceous loamy (2),2,2
1829,1,Siliceous loamy (2),2,2
1836,1,Siliceous loamy (2),2,2
1842,1,Siliceous loamy (2),2,2
1844,1,Siliceous loamy (2),2,2
1845,1,Siliceous loamy (2),2,2
1846,1,Siliceous loamy (2),2,2
1849,1,Siliceous loamy (2),2,2
1851,1,Siliceous loamy (2),2,2
1855,1,Siliceous loamy (2),2,2
1856,1,Siliceous loamy (2),2,2
1857,1,Siliceous loamy (2),2,2
1859,1,Siliceous loamy (2),2,2
1862,1,Siliceous loamy (2),2,2
1866,1,Siliceous loamy (2),2,2
1870,1,Siliceous loamy (2),2,2
1875,1,Siliceous loamy (2),2,2
1876,1,Siliceous loamy (2),2,2
1896,1,Siliceous loamy (2),2,2
1904,1,Siliceous loamy (2),2,2
1905,1,Siliceous loamy (2),2,2
1919,1,Siliceous loamy (2),2,2
1920,1,Siliceous loamy (2),2,2
1923,1,Siliceous loamy (2),2,2
1926,1,Siliceous loamy (2),2,2
1927,1,Siliceous loamy (2),2,2
1932,1,Siliceous loamy (2),2,2
1936,1,Siliceous loamy (2),2,2
1946,1,Siliceous loamy (2),2,2
1951,1,Siliceous loamy (2),2,2
1953,1,Siliceous loamy (2),2,2
1954,1,Siliceous loamy (2),2,2
1957,1,Siliceous loamy (2),2,2
1959,1,Siliceous loamy (2),2,2
1967,1,Siliceous loamy (2),2,2
1969,1,Siliceous loamy (2),2,2
1972,1,Siliceous loamy (2),2,2
1982,1,Siliceous loamy (2),2,2
1983,1,Siliceous loamy (2),2,2
1984,1,Siliceous loamy (2),2,2
1985,1,Siliceous loamy (2),2,2
1989,1,Siliceous loamy (2),2,2
1990,1,Siliceous loamy (2),2,2
2001,1,Siliceous loamy (2),2,2
2007,1,Siliceous loamy (2),2,2
2019,1,Siliceous loamy (2),2,2
2023,1,Siliceous loamy (2),2,2
2027,1,Siliceous loamy (2),2,2
2033,1,Siliceous loamy (2),2,2
2036,1,Siliceous loamy (2),2,2
2037,1,Siliceous loamy (2),2,2
2045,1,Siliceous loamy (2),2,2
2061,1,Siliceous loamy (2),2,2
2067,1,Siliceous loamy (2),2,2
2071,1,Siliceous loamy (2),2,2
2072,1,Siliceous loamy (2),2,2
2074,1,Siliceous loamy (2),2,2
2094,1,Siliceous loamy (2),2,2
2097,1,Siliceous loamy (2),2,2
2098,1,Siliceous loamy (2),2,2
2104,1,Siliceous loamy (2),2,2
2112,1,Siliceous loamy (2),2,2
2115,1,Siliceous loamy (2),2,2
2118,1,Siliceous loamy (2),2,2
2123,1,Siliceous loamy (2),2,2
2128,1,Siliceous loamy (2),2,2
2133,1,Siliceous loamy (2),2,2
2134,1,Siliceous loamy (2),2,2
2149,1,Siliceous loamy (2),2,2
2162,1,Siliceous loamy (2),2,2
2165,1,Siliceous loamy (2),2,2
2166,1,Siliceous loamy (2),2,2
2168,1,Siliceous loamy (2),2,2
2176,1,Siliceous loamy (2),2,2
2177,1,Siliceous loamy (2),2,2
2179,1,Siliceous loamy (2),2,2
2182,1,Siliceous loamy (2),2,2
2185,1,Siliceous loamy (2),2,2
2188,1,Siliceous loamy (2),2,2
2190,1,Siliceous loamy (2),2,2
2191,1,Siliceous loamy (2),2,2
2197,1,Siliceous loamy (2),2,2
2200,1,Siliceous loamy (2),2,2
2203,1,Siliceous loamy (2),2,2
2207,1,Siliceous loamy (2),2,2
2209,1,Siliceous loamy (2),2,2
2214,1,Siliceous loamy (2),2,2
2215,1,Siliceous loamy (2),2,2
2218,1,Siliceous loamy (2),2,2
2221,1,Siliceous loamy (2),2,2
2227,1,Siliceous loamy (2),2,2
2229,1,Siliceous loamy (2),2,2
2231,1,Siliceous loamy (2),2,2
2232,1,Siliceous loamy (2),2,2
2239,1,Siliceous loamy (2),2,2
2240,1,Siliceous loamy (2),2,2
2244,1,Siliceous loamy (2),2,2
2245,1,Siliceous loamy (2),2,2
2247,1,Siliceous loamy (2),2,2
2250,1,Siliceous loamy (2),2,2
2253,1,Siliceous loamy (2),2,2
2258,1,Siliceous loamy (2),2,2
2262,1,Siliceous loamy (2),2,2
2271,1,Siliceous loamy (2),2,2
2277,1,Siliceous loamy (2),2,2
2281,1,Siliceous loamy (2),2,2
2286,1,Siliceous loamy (2),2,2
2289,1,Siliceous loamy (2),2,2
2290,1,Siliceous loamy (2),2,2
2293,1,Siliceous loamy (2),2,2
2294,1,Siliceous loamy (2),2,2
2298,1,Siliceous loamy (2),2,2
2300,1,Siliceous loamy (2),2,2
2305,1,Siliceous loamy (2),2,2
2311,1,Siliceous loamy (2),2,2
2329,1,Siliceous loamy (2),2,2
2335,1,Siliceous loamy (2),2,2
